Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_1,11|3,3,1,Son,,,,,,,,69.538045,,,,,,,,,5.5,,,,,,,,,0.105261,
Song_1,11|4,4,N,Son,,69.739415,69.714314,69.734036,,,,69.73825,69.717514,,1.5,1,2,,,,5.5,1.5,,0.393977,0.324923,0.071705,,,,0.033763,0.226195
Song_1,11|5,5,2,Son,,,,,,,,,69.929223,,,,,,,,,2,,,,,,,,,0.274581
Song_1,11|6,6,N,Son,,,,,,,,70.08534,,,,,,,,,5,,,,,,,,,0.271886,
Song_1,11|7,7,N,Son,,70.292698,70.273324,,,,,70.272517,,,2,1.5,,,,,5,,,0.57251,0.294771,,,,,0.352557,
Song_1,11|8,8,N,Son,,,,70.448039,70.470255,,,70.466982,,,,,1.5,4.5,,,5,,,,,0.127864,0.197206,,,0.343701,
Song_1,11|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,11|10,10,N,Son,,,,,70.816306,,,70.816534,,,,,,4.5,,,4,,,,,,0.110872,,,0.053955,
Song_1,11|11,11,N,Son,,,,,70.997192,,,70.994945,,,,,,4.5,,,4.5,,,,,,0.273279,,,0.120418,
Song_1,11|12,12,4,Son,,,,71.117799,,,,71.192808,,,,,2,,,,4.5,,,,,0.066554,,,,0.034137,
Song_1,11|13,13,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,11|14,14,N,Son,,,,,71.569233,,,71.539548,,,,,,4,,,4,,,,,,0.10569,,,0.235879,
Song_1,11|15,15,5,Son,,71.713355,,,,,,71.719907,,,1.5,,,,,,4.5,,,0.379323,,,,,,0.333577,
Song_1,11|16,16,N,Son,,71.895231,,,71.896255,,,71.908299,,,1.5,,,5,,,4.5,,,0.280228,,,0.23532,,,0.287966,
Song_1,12|1,1,N,Son,,,72.111733,72.046539,,,,,,,,1,1.5,,,,,,,,0.218772,0.075839,,,,,
Song_1,12|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,12|3,3,1,Son,,,,72.425386,,,,72.450273,,,,,2,,,,5,,,,,0.054951,,,,0.10628,
Song_1,12|4,4,N,Son,,72.652009,72.639273,72.645819,72.643973,,,72.651566,,,1.5,1,2,5,,,5,,,0.329028,0.184068,0.107204,0.591087,,,0.129945,
Song_1,12|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,12|6,6,N,Son,,,,,,,,72.987886,,,,,,,,,5,,,,,,,,,0.279759,
Song_1,12|7,7,N,Son,,73.215352,73.174187,,,,,73.163855,,,2,1.5,,,,,5,,,0.300708,0.227598,,,,,0.325234,
Song_1,12|8,8,N,Son,,,,73.361481,73.348393,,,73.364858,,,,,2,4.5,,,5,,,,,0.105498,0.24176,,,0.387731,
Song_1,12|9,9,3,Son,,,,,,,,73.545497,,,,,,,,,5,,,,,,,,,0.030679,
Song_1,12|10,10,N,Son,,,,,,,,73.721439,,,,,,,,,5,,,,,,,,,0.060537,
Song_1,12|11,11,N,Son,,,,,73.917837,,,73.89306,,,,,,4,,,5.5,,,,,,0.094174,,,0.151144,
Song_1,12|12,12,4,Son,,,,74.078293,,,,74.089961,,,,,2,,,,5.5,,,,,0.058479,,,,0.025776,
Song_1,12|13,13,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,12|14,14,N,Son,,,,,74.457563,,,74.431719,,,,,,4,,,5.5,,,,,,0.085181,,,0.19931,
Song_1,12|15,15,5,Son,,74.569198,,,74.634038,,,74.622613,,,1.5,,,4.5,,,5.5,,,0.400039,,,0.744457,,,0.4848,
Song_1,12|16,16,N,Son,,,,74.792771,,,,,,,,,1.5,,,,,,,,,0.074829,,,,,
Song_1,13|1,1,N,Son,,,,74.998839,,,,,,,,,2,,,,,,,,,0.113123,,,,,
Song_1,13|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,13|3,3,1,Son,,,,75.33298,,,75.373074,75.351185,,,,,2.5,,,0.5,5.5,,,,,0.069467,,,0.107392,0.077674,
Song_1,13|4,4,N,Son,,75.546759,75.55218,75.522223,,,75.56031,,,,1.5,1.5,2.5,,,1,,,,0.495652,0.480232,0.207713,,,0.591803,,
Song_1,13|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,13|6,6,N,Son,,,75.944711,75.889489,75.942059,,,75.909384,,,,2,3,4,,,4.5,,,,0.16775,0.074421,0.155778,,,0.181457,
Song_1,13|7,7,N,Son,,76.054802,,,,,76.10025,76.088401,,,2,,,,,1.5,5,,,0.364725,,,,,0.685847,0.313426,
Song_1,13|8,8,N,Son,,76.234601,76.270795,,76.28804,,,76.28621,,,2.5,2.5,,4.5,,,4.5,,,0.585496,0.708947,,0.177129,,,0.313248,
Song_1,13|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,13|10,10,N,Son,,,76.651113,76.637286,76.631753,,,76.658296,,,,2.5,3.5,4.5,,,4,,,,0.175966,0.099045,0.076585,,,0.065857,
Song_1,13|11,11,N,Son,,76.80729,,,,,76.818149,76.822275,,,3,,,,,2,4.5,,,0.5357,,,,,0.096118,0.097241,
Song_1,13|12,12,4,Son,,77.001892,76.996772,76.990218,,,77.010238,,,,3.5,3,3.5,,,2.5,,,,0.514065,0.756628,0.110439,,,0.462613,,
Song_1,13|13,13,N,Son,,77.205882,,,77.186702,,,,,,4,,,4.5,,,,,,0.487888,,,0.07634,,,,
Song_1,13|14,14,N,Son,,,77.372267,,77.361321,,,77.373434,,,,3,,5,,,4.5,,,,0.168151,,0.297349,,,0.185014,
Song_1,13|15,15,5,Son,,77.526286,,,,,77.537831,77.547557,,,4,,,,,2.5,5,,,0.579965,,,,,0.74953,0.365245,
Song_1,13|16,16,N,Son,,,77.713466,,77.726467,,,77.735584,,,,3,,5,,,5,,,,0.743695,,0.463086,,,0.178397,
Song_1,14|1,1,N,Son,,,,,,,77.950101,,,,,,,,,2.5,,,,,,,,,0.115967,,
Song_1,14|2,2,N,Son,,,78.077085,78.053772,78.082072,,,,,,,3,2,4.5,,,,,,,0.178962,0.208926,0.078112,,,,
Song_1,14|3,3,1,Son,,78.236426,,78.267269,,,78.280101,78.263095,,,3.5,,2.5,,,2.5,5,,,0.520166,,0.095055,,,0.098646,0.113544,
Song_1,14|4,4,N,Son,,78.439903,78.436378,78.430498,,,78.461998,,,,3.5,3,2.5,,,3,,,,0.546074,0.350821,0.148502,,,0.659928,,
Song_1,14|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,14|6,6,N,Son,,,,78.776728,78.814435,,,78.805484,,,,,2.5,4.5,,,5,,,,,0.060795,0.05357,,,0.224986,
Song_1,14|7,7,N,Son,,78.960248,,,,,78.990421,78.980003,,,3.5,,,,,3,5,,,0.429427,,,,,0.680314,0.332064,
Song_1,14|8,8,N,Son,,79.162331,79.181928,79.159999,79.150377,,,79.176863,,,3.5,3,2.5,5,,,5,,,0.479856,0.483355,0.104902,0.098302,,,0.233958,
Song_1,14|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,14|10,10,N,Son,,,79.455575,79.520963,79.510355,,,79.535243,,,,3,3,4.5,,,4.5,,,,0.121664,0.069475,0.214198,,,0.045502,
Song_1,14|11,11,N,Son,,,,,,,79.698886,79.702194,,,,,,,,2.5,4.5,,,,,,,,0.131148,0.134126,
Song_1,14|12,12,4,Son,,79.886926,79.901009,,,,79.893468,,,,3,3.5,,,,3,,,,0.410483,0.401166,,,,0.697442,,
Song_1,14|13,13,N,Son,,,,,80.074537,,,,,,,,,5,,,,,,,,,0.050071,,,,
Song_1,14|14,14,N,Son,,,,,80.254745,,,80.24672,,,,,,5,,,4.5,,,,,,0.229447,,,0.157078,
Song_1,14|15,15,5,Son,,80.423095,,,,,80.435958,80.41604,,,3.5,,,,,2.5,4.5,,,0.385133,,,,,0.782804,0.328313,
Song_1,14|16,16,N,Son,,,80.603536,,80.619296,,,80.611612,,,,3.5,,5,,,4.5,,,,0.540819,,0.067006,,,0.331416,
Song_1,15|1,1,N,Son,,,80.88543,,,,,,,,,4,,,,,,,,,0.12797,,,,,,
